occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Sylvia atricapilla","Sylvia atricapilla (Linnaeus, 1758)","2492956","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla","Sylvia atricapilla","(Linnaeus, 1758) ","2492956",
,"Sylvia borin","Sylvia borin (Boddaert, 1783)","2492942","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia borin","Sylvia borin","(Boddaert, 1783) ","2492942",
,"Troglodytes troglodytes","Troglodytes troglodytes (Linnaeus, 1758)","5231438","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","(Linnaeus, 1758) ","5231438",
,"Turdus merula","Turdus merula Linnaeus, 1758","2490719","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus merula","Turdus merula","Linnaeus, 1758","2490719",
,"Turdus philomelos","Turdus philomelos C.L.Brehm, 1831","7901064","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos","Turdus philomelos","C.L.Brehm, 1831","7901064",
,"Turdus viscivorus","Turdus viscivorus Linnaeus, 1758","2490774","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus viscivorus","Turdus viscivorus","Linnaeus, 1758","2490774",
,"Syrmaticus mikado","Syrmaticus mikado (Ogilvie-Grant, 1906)","2473482","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Syrmaticus","Syrmaticus mikado","Syrmaticus mikado","(Ogilvie-Grant, 1906) ","2473482",
,"Columba pulchricollis","Columba pulchricollis Blyth, 1846","5231868","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba pulchricollis","Columba pulchricollis","Blyth, 1846","5231868",
,"Cuculus saturatus","Cuculus saturatus Blyth, 1843","9548093","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus saturatus","Cuculus saturatus","Blyth, 1843","9548093",
,"Glaucidium brodiei","Glaucidium brodiei (Burton, 1836)","5232113","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium brodiei","Glaucidium brodiei","(Burton, 1836) ","5232113",
,"Dendrocopos leucotos","Dendrocopos leucotos (Bechstein, 1802)","2477927","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos leucotos","Dendrocopos leucotos","(Bechstein, 1802) ","2477927",
,"Picus canus","Picus canus J.F.Gmelin, 1788","2478548","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus canus","Picus canus","J.F.Gmelin, 1788","2478548",
,"Nucifraga caryocatactes","Nucifraga caryocatactes (Linnaeus, 1758)","2482613","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Nucifraga","Nucifraga caryocatactes","Nucifraga caryocatactes","(Linnaeus, 1758) ","2482613",
,"Corvus macrorhynchos","Corvus macrorhynchos Wagler, 1827","2482487","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus macrorhynchos","Corvus macrorhynchos","Wagler, 1827","2482487",
,"Garrulus glandarius","Garrulus glandarius (Linnaeus, 1758)","5229493","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Garrulus","Garrulus glandarius","Garrulus glandarius","(Linnaeus, 1758) ","5229493",
,"Parus monticolus","Parus monticolus Vigors, 1831","2487935","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus monticolus","Parus monticolus","Vigors, 1831","2487935",
,"Parus ater","Parus ater Linnaeus, 1758","7820681","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater","Parus ater","Linnaeus, 1758","7820681","2487871"
,"Aegithalos concinnus","Aegithalos concinnus (Gould, 1855)","2494998","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos concinnus","Aegithalos concinnus","(Gould, 1855) ","2494998",
,"Cettia acanthizoides","Cettia acanthizoides (J.Verreaux, 1870)","2493006","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Horornis","Horornis acanthizoides","Cettia acanthizoides","(J.Verreaux, 1870) ","2493006","7711859"
,"Bradypterus alishanensis","Bradypterus alishanensis Rasmussen, Round, Dickinson & Rozendaal, 2000","5733837","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Locustellidae","Locustella","Locustella alishanensis","Bradypterus alishanensis","Rasmussen, Round, Dickinson & Rozendaal, 2000","5733837","7443420"
,"Abroscopus albogularis","Abroscopus albogularis (Moore, 1854)","2493239","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Abroscopus","Abroscopus albogularis","Abroscopus albogularis","(Moore, 1854) ","2493239",
,"Pnoepyga albiventer","Pnoepyga albiventer (Hodgson, 1837)","2493101","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pnoepygidae","Pnoepyga","Pnoepyga albiventer","Pnoepyga albiventer","(Hodgson, 1837) ","2493101",
,"Stachyris ruficeps","Stachyris ruficeps Blyth, 1847","2493418","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Timaliidae","Stachyridopsis","Stachyridopsis ruficeps","Stachyris ruficeps","Blyth, 1847","2493418","7340299"
,"Garrulax morrisonianus","Garrulax morrisonianus (Ogilvie-Grant, 1906)","2493488","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Trochalopteron","Trochalopteron morrisonianum","Garrulax morrisonianus","(Ogilvie-Grant, 1906) ","2493488","6101127"
,"Liocichla steerii","Liocichla steerii Swinhoe, 1877","2493327","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Liocichla","Liocichla steerii","Liocichla steerii","Swinhoe, 1877","2493327",
,"Actinodura morrisoniana","Actinodura morrisoniana Ogilvie-Grant, 1906","2493107","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Actinodura","Actinodura morrisoniana","Actinodura morrisoniana","Ogilvie-Grant, 1906","2493107",
,"Alcippe manipurensis","Alcippe manipurensis (Ogilvie-Grant, 1906)","5788971","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Fulvetta","Fulvetta manipurensis","Alcippe manipurensis","(Ogilvie-Grant, 1906) ","5788971","7341908"
,"Alcippe morrisonia","Alcippe morrisonia Swinhoe, 1863","5231382","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pellorneidae","Alcippe","Alcippe morrisonia","Alcippe morrisonia","Swinhoe, 1863","5231382",
,"Heterophasia auricularis","Heterophasia auricularis (Swinhoe, 1864)","2493394","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Heterophasia","Heterophasia auricularis","Heterophasia auricularis","(Swinhoe, 1864) ","2493394",
,"Yuhina brunneiceps","Yuhina brunneiceps Ogilvie-Grant, 1906","2493183","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Yuhina","Yuhina brunneiceps","Yuhina brunneiceps","Ogilvie-Grant, 1906","2493183",
,"Paradoxornis verreauxi","Paradoxornis verreauxi (Sharpe, 1883)","2493517","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Suthora","Suthora verreauxi","Paradoxornis verreauxi","(Sharpe, 1883) ","2493517","6100930"
,"Regulus goodfellowi","Regulus goodfellowi Ogilvie-Grant, 1906","2484590","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus goodfellowi","Regulus goodfellowi","Ogilvie-Grant, 1906","2484590",
,"Sitta europaea","Sitta europaea Linnaeus, 1758","2484916","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta europaea","Sitta europaea","Linnaeus, 1758","2484916",
,"Myophonus insularis","Myophonus insularis Gould, 1863","5733816","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Myophonus","Myophonus insularis","Myophonus insularis","Gould, 1863","5733816",
