Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Melithreptus validirostris,Melithreptus validirostris,Cale94,2.43,21.87,0,0,55.08,0.81,2.43,75.33,0,0,2.43,0,80.19,80.19,Australia,Tasmania,Remes,PASSERIFORMES
Pardalotus striatus,Pardalotus striatus,Cale94,0,25.2,0,0,0,0,0,5.04,0,0,20.16,0,25.2,25.2,Australia,Tasmania,Remes,PASSERIFORMES
Acanthiza ewingii,Acanthiza ewingii,Cale94,0,105.75,21.15,0,1.41,12.69,0,31.02,0,0,109.98,0,141,141,Australia,Tasmania,Remes,PASSERIFORMES
Acanthiza pusilla,Acanthiza pusilla,Cale94,2.16,168.48,19.44,0,4.32,21.6,2.16,108,0,4.32,101.52,0,216,216,Australia,Tasmania,Remes,PASSERIFORMES
Pachycephala pectoralis,Pachycephala pectoralis,Cale94,7.92,4.95,0,0,0,20.13,7.92,10.89,0,0,14.19,0,33,33,Australia,Tasmania,Remes,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,Cale94,127.05,23.1,1.65,0,0,13.2,127.05,9.9,0,0,28.05,0,165,165,Australia,Tasmania,Remes,PASSERIFORMES
Acanthiza reguloides,Acanthiza reguloides,Recher89,29.6,207.2,35.52,0,0,20.72,47.36,65.12,0,5.92,180.56,0,293.04,298.96,Australia,New South Wales,Remes,PASSERIFORMES
Acanthiza lineata,Acanthiza lineata,Recher89,13.3,518.7,79.8,0,0,53.2,19.95,53.2,0,0,591.85,0,665,665,Australia,New South Wales,Remes,PASSERIFORMES
Acanthiza nana,Acanthiza nana,Recher89,67.14,749.73,123.09,0,0,190.23,65.52,185.64,0,0,829.92,0,1130.19,1081.08,Australia,New South Wales,Remes,PASSERIFORMES
Smicrornis brevirostris,Smicrornis brevirostris,Recher89,54.6,360.36,480.48,0,0,131.04,37.28,37.28,0,0,857.44,0,1026.48,932,Australia,New South Wales,Remes,PASSERIFORMES
Gerygone olivacea,Gerygone olivacea,Recher89,93.2,382.12,74.56,0,0,382.12,31.6,12.64,0,0,271.76,0,932,316,Australia,New South Wales,Remes,PASSERIFORMES
Aegithalos caudatus,Aegithalos caudatus,Ulicny25,0,20,1,0,0,0,0,13,0,0,8,0,21,21,Europe,Czech Republic,Ulicny,PASSERIFORMES
Certhia brachydactyla,Certhia brachydactyla,Ulicny25,0,0,0,0,5,0,0,5,0,0,0,0,5,5,Europe,Czech Republic,Ulicny,PASSERIFORMES
